unique_id,num_votes,num_good_votes,classifiable_frac,extended_frac,dsk_frac,sph_frac,pec_frac,smooth_frac,class,confident,RA,DEC
egs10870,6.0,6.0,1.0,1.0,0.1666666666666666,0.1666666666666666,0.6666666666666666,0.5,peculiar,False,214.8599657642,52.811374515
egs10877,6.0,6.0,1.0,1.0,0.6666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,disk,False,214.8540185434,52.8073861422
egs10890,6.0,1.0,0.1666666666666666,1.0,0.0,1.0,0.0,1.0,,False,214.9005490886,52.8405579244
egs10905,6.0,6.0,1.0,1.0,0.5,0.1666666666666666,0.3333333333333333,0.5,disk,False,214.8994197506,52.8398201163
egs10915,6.0,6.0,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,1.0,disk,False,214.8433605097,52.7998827877
egs10917,6.0,1.0,0.1666666666666666,1.0,1.0,0.0,0.0,1.0,,False,214.8487716552,52.80382217
egs10925,6.0,6.0,1.0,1.0,0.5,0.0,0.5,0.6666666666666666,ambiguous,False,214.9033071733,52.8426548629
egs10941,6.0,6.0,1.0,1.0,0.5,0.0,0.5,0.6666666666666666,ambiguous,False,214.8653137145,52.8157429443
egs10970,6.0,6.0,1.0,1.0,0.0,0.1666666666666666,0.8333333333333334,0.3333333333333333,peculiar,False,214.8373014083,52.7959574407
egs10981,6.0,5.0,0.8333333333333334,1.0,0.0,1.0,0.0,1.0,spheroid,True,214.8413623907,52.7989264252
egs10988,6.0,6.0,1.0,1.0,0.0,0.0,1.0,0.3333333333333333,peculiar,True,214.8823295475,52.8281457074
egs10990,6.0,6.0,1.0,1.0,1.0,0.0,0.0,0.8333333333333334,disk,True,214.8982812169,52.8395082339
egs10999,6.0,6.0,1.0,1.0,0.5,0.0,0.5,0.8333333333333334,ambiguous,False,214.9051585833,52.8443976095
egs11002,6.0,6.0,1.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.1666666666666666,peculiar,False,214.8428329874,52.7995419922
egs11013,6.0,5.0,0.8333333333333334,1.0,1.0,0.0,0.0,1.0,disk,True,214.9063718234,52.8453083267
egs11017,6.0,6.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,spheroid,False,214.8597185861,52.8121633721
egs11028,6.0,6.0,1.0,1.0,1.0,0.0,0.0,0.8333333333333334,disk,True,214.9081920226,52.8466935542
egs11060,6.0,6.0,1.0,1.0,0.5,0.1666666666666666,0.3333333333333333,1.0,disk,False,214.8540980388,52.8083578961
egs11064,6.0,2.0,0.3333333333333333,1.0,0.5,0.0,0.5,1.0,,False,214.8913074111,52.834840887
egs11067,6.0,6.0,1.0,1.0,0.1666666666666666,0.0,0.8333333333333334,0.5,peculiar,False,214.8640386127,52.8153813765
egs11097,6.0,6.0,1.0,1.0,1.0,0.0,0.0,0.8333333333333334,disk,True,214.9061138441,52.8444217822
egs11133,6.0,6.0,1.0,1.0,0.8333333333333334,0.1666666666666666,0.0,0.8333333333333334,disk,False,214.8588688423,52.8117342838
egs11149,6.0,6.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.0,1.0,disk,False,214.8960677022,52.8387323592
egs11155,6.0,6.0,1.0,1.0,0.0,0.1666666666666666,0.8333333333333334,0.8333333333333334,peculiar,False,214.9041350028,52.8442742332
egs11160,6.0,6.0,1.0,1.0,0.5,0.0,0.5,0.3333333333333333,ambiguous,False,214.8377741032,52.7966951627
egs11161,6.0,6.0,1.0,1.0,0.0,0.0,1.0,0.1666666666666666,peculiar,True,214.8941534769,52.8372382336
egs11162,6.0,6.0,1.0,1.0,0.8333333333333334,0.0,0.1666666666666666,1.0,disk,False,214.8363124863,52.7962538069
egs11166,6.0,6.0,1.0,1.0,0.8333333333333334,0.0,0.1666666666666666,0.5,disk,False,214.9114451555,52.8487531804
egs11172,6.0,6.0,1.0,1.0,0.0,0.0,1.0,0.1666666666666666,peculiar,True,214.8404374761,52.7990268756
egs11181,6.0,6.0,1.0,1.0,0.0,0.0,1.0,0.1666666666666666,peculiar,True,214.8956410675,52.8381563391
egs11183,6.0,6.0,1.0,1.0,0.8333333333333334,0.0,0.1666666666666666,0.1666666666666666,disk,False,214.8533129714,52.8081271178
egs11192,6.0,6.0,1.0,1.0,0.1666666666666666,0.0,0.8333333333333334,1.0,peculiar,False,214.8868093332,52.8323699959
egs11195,6.0,6.0,1.0,1.0,0.8333333333333334,0.0,0.1666666666666666,1.0,disk,False,214.8886718735,52.8337177106
egs11218,6.0,6.0,1.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,peculiar,False,214.8528890517,52.8080433319
egs11224,6.0,6.0,1.0,1.0,0.8333333333333334,0.1666666666666666,0.0,1.0,disk,False,214.8894468055,52.8342587159
egs11225,6.0,6.0,1.0,1.0,0.5,0.0,0.5,1.0,ambiguous,False,214.8544621991,52.8095257485
egs11237,6.0,6.0,1.0,1.0,0.6666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,disk,False,214.8308007023,52.7925919523
egs11244,6.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,disk,True,214.9014242775,52.8427548268
egs11258,6.0,6.0,1.0,1.0,1.0,0.0,0.0,0.8333333333333334,disk,True,214.8456987672,52.8033243835
egs11268,6.0,6.0,1.0,1.0,0.5,0.0,0.5,0.5,ambiguous,False,214.8449360368,52.8029401964
egs11281,6.0,6.0,1.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.1666666666666666,peculiar,False,214.8503276737,52.8064125521
egs11283,6.0,6.0,1.0,1.0,0.3333333333333333,0.5,0.1666666666666666,1.0,spheroid,False,214.9028745457,52.8442166683
egs11289,6.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,disk,True,214.9085585235,52.8483214391
egs11304,6.0,6.0,1.0,1.0,0.1666666666666666,0.8333333333333334,0.0,1.0,spheroid,False,214.8393056765,52.799142737
egs11378,6.0,6.0,1.0,1.0,0.0,0.1666666666666666,0.8333333333333334,0.5,peculiar,False,214.8957169721,52.8393442067
egs11386,6.0,6.0,1.0,1.0,0.8333333333333334,0.0,0.1666666666666666,0.1666666666666666,disk,False,214.8635103206,52.815623713
