,unique_id,skybg,skybgstd,x0peak,y0peak,x0col,y0col,Rp,a,b,PAdeg,InFit1D,RnFit1D,nFit1D,xsin,x0Fit2D,y0Fit2D,InFit2D,RnFit2D,nFit2D,qFit2D,PAFit2D,LT,R10,R20,R30,R40,R50,R60,R70,R80,R90,C1,C2,BGmedian,A_e,A0,A1,A3,S3,G,sigma_psi,M20,H
3794,egs39367,0.0008766,0.00461631,32.09720058,34.6395516,32.51426521,34.49071849,5.74100703,1.07435363,0.89669342,25.00674492,0.04054103,2.80529806,0.50006378,21.74621802,31.32673007,33.71950585,0.06277463,2.09845969,0.1742659,0.69733732,12.90569963,1.80910107,1.0,1.50867414,2.00362644,2.45427906,2.89767323,3.36147662,3.85626466,4.38774214,5.06184515,0.46364565,0.24225945,0.45521011,0.00253298,0.28692804,0.0,0.25669148,0.4774631,0.44379799,0.16898368,-0.02268897,0.79807177
3795,egs39368,0.00020538,0.00454414,7.12875526,49.12122937,7.48565144,49.0206061,9.63330284,1.04088268,0.67280066,150.63567781,0.01794672,4.68168724,0.50001356,31.52433559,6.75649815,47.75135988,0.01615359,1.31226253,0.16362347,0.66521248,144.11389551,1.80167606,1.90782662,3.0941337,4.15101314,4.79662531,5.31017719,5.79526183,6.33947695,7.06113927,8.12634543,0.3583357,0.18478627,0.3028086,0.00251115,0.22910864,0.00330031,0.23902679,0.65209309,0.36194493,0.35177947,-0.41678241,0.86380699
3796,egs39383,-0.00128891,0.00869944,31.01587156,31.01605222,31.4104762,31.41457773,9.43776774,1.00559898,0.8749999,40.36145835,0.01572667,5.03141421,5.90706652,12.371618,31.0071607,31.00579672,-0.00463928,6.85682512,3.24474676,0.05016922,146.97667249,4.35690156,1.0,1.38423639,1.93127999,2.52398649,3.21193854,4.05699682,5.09930072,6.59749012,7.77601602,0.67816849,0.38398992,0.13701396,0.00197856,-0.01519533,0.0,0.03296703,0.93752632,0.49415408,0.61755315,-inf,0.46397963
3797,egs39385,6.032e-05,0.00294148,29.52566384,30.50638384,30.06741383,30.71342586,9.19086596,2.83576948,2.26689812,44.95116207,0.05721861,3.39118115,1.27818678,6.91148535,28.75152984,29.54554292,0.0557618,3.29538956,1.82151623,0.67629411,46.43076555,5.53408252,1.37119004,2.00148288,2.55103784,3.06187766,3.56172467,4.09379176,4.72905874,5.64891617,7.0723164,0.45061325,0.29790134,0.06994143,0.0005284,0.09548539,0.0,0.03051284,0.32316193,0.54477246,0.08454293,-1.58090016,0.78923207
3798,egs39386,0.0010217,0.00606573,32.59960861,30.80106264,32.57098326,30.70986499,10.07006402,0.75684349,0.45651259,71.53446584,0.02341479,4.91789117,0.52634871,3.76411,31.52608441,29.63946011,0.02378378,5.37751444,0.61433926,0.49130652,85.99679846,2.98627575,1.8757531,2.58785158,3.29339278,4.03289372,4.70745448,5.34286914,6.02982384,6.98258637,8.28059357,0.43107695,0.24527534,0.23581236,0.00202145,0.15314432,0.0,0.07687036,0.49893352,0.42112228,0.3050765,-1.05584524,0.83699164
3799,egs39387,0.00071027,0.00578767,30.52697526,30.5736559,30.68094607,31.44429417,8.86131282,2.72867847,1.41602827,152.31172015,0.08193548,3.61438283,0.50000306,24.42491805,29.57928331,30.39479306,0.11506778,1.43194736,0.16368104,0.2922265,152.89405783,3.70973746,1.72007954,2.30255769,2.79026332,3.29081909,3.8366931,4.40880652,4.99515668,5.61822887,6.58917012,0.38738891,0.23487366,0.10904352,0.00154605,0.18127668,0.0079334,0.03136337,0.4962017,0.48106111,0.19846648,-0.74673984,0.73701101
3800,egs39389,0.00151291,0.00478648,31.00527576,1.49924822,31.36218892,2.37764291,37.60398301,1.61576036,0.90664717,64.74612003,0.00207394,35.99999352,1.48366248,15.89916043,31.11569277,1.94902274,0.00232188,20.8426082,1.5526062,0.66774513,48.09372341,6.59836409,5.14219031,9.11020215,12.52767245,14.98182963,18.1221584,21.56363421,24.94573369,28.28936049,32.17005457,0.49209512,0.24924188,0.52393619,0.00072464,0.48653377,0.23056132,0.81577251,0.82775847,0.52447832,0.6977072,-1.08074029,0.89511151
3801,egs39393,-0.00081324,0.00720857,31.6310811,31.63987437,32.12011547,32.31830403,10.48898272,1.38881681,1.28980519,76.85344542,0.00910956,6.0683301,2.81502462,6.50838218,31.59226195,31.61760236,0.00958529,4.06695157,2.91093233,0.99999993,82.78813392,3.59569668,1.45059504,2.04995143,2.61048385,3.19955916,3.88852069,4.78590879,5.96135791,7.06536199,8.43454639,0.53739085,0.33627732,0.41288735,0.0019966,0.16309356,0.0,0.19164825,0.61650577,0.56035905,0.21547139,-1.67614133,0.82554675
3802,egs39403,-0.00075226,0.00599099,32.00455395,29.0100262,31.98942533,29.36092373,6.99016235,1.06042729,0.73965761,72.87993467,0.02518199,3.01402528,0.5000148,29.52305855,30.90841275,28.93722891,0.01876547,4.12324113,0.5916998,0.44616613,64.4263245,1.14443895,1.22987925,1.71241573,2.1500798,2.5965009,3.11961746,3.77913317,4.34517201,4.82947035,5.32826369,0.4502903,0.23248437,0.28267717,0.00518579,0.10013967,0.0,0.17965786,0.9550951,0.34577635,0.14849804,-0.49651208,0.73175112
3803,egs39409,0.00086266,0.00718205,36.40510666,36.62311227,36.58710735,37.05536949,9.55475792,1.59231531,0.99205009,14.94566692,0.02228294,4.48865939,0.50000576,33.32890071,34.6848684,35.69480763,0.01652802,5.01252703,0.24533056,0.62420113,26.94476331,1.88690615,1.87801885,2.95057117,3.68503756,4.32493165,4.99453621,5.79998262,6.56667802,7.25107069,7.94712756,0.39049604,0.20171502,0.46509915,0.00378704,0.19205658,0.0,0.17542954,0.83702833,0.42348035,0.45664383,-0.62795799,0.86503142
3804,egs39414,0.00023859,0.00316762,36.4970839,33.5084007,35.94156279,33.4995749,17.77678322,4.4008376,2.11209962,11.77749732,0.01952646,7.6127154,0.74371717,7.04409091,34.86796154,32.48007451,0.02513115,8.41263406,0.60613255,0.37976823,13.40683014,6.43846895,2.10659321,3.4595504,4.6400793,5.56112172,6.6491338,7.90687934,9.51245967,11.34805773,13.77264746,0.51590187,0.31625236,0.12685983,0.00049097,0.13370839,0.00716549,0.13521181,0.33340723,0.44471158,0.45047057,-1.29820756,0.88638181
3805,egs39416,-0.00135753,0.00903784,33.51616055,32.51707767,33.79340372,32.91492473,20.44234299,1.83816606,1.58574818,83.50584226,0.00312346,18.99999979,1.84616917,16.13783528,32.59224394,31.5398645,0.00374813,16.72301118,1.58965667,1.00000001,102.53123647,8.09374049,3.18459824,4.77675154,6.35665,7.6593383,8.76509573,10.21462083,11.96396437,15.19823824,16.93376167,0.5026606,0.28599678,0.5886956,0.00111494,0.44394724,0.00885315,0.44331679,1.4078509,0.54777632,0.79656287,-1.22886884,0.89297152
3806,egs39423,0.00051191,0.00405178,32.50753279,27.53094344,33.55113554,28.10692823,10.4150616,2.74498126,1.76534253,172.80410877,0.01270406,5.53174192,0.5000024,25.22765216,33.3297492,28.66265534,0.01077203,1.35340395,0.1636203,0.74767495,24.59447794,1.4345672,3.5272121,4.17484836,4.78970376,5.62986168,6.32904515,6.87758472,7.5422853,8.30499497,9.04828512,0.29869867,0.15522808,0.43572025,0.00281129,0.26438108,0.0,0.28223152,0.6678834,0.48343501,0.4945843,-0.49171749,0.88609018
3807,egs39425,0.00011074,0.00651618,30.12694759,31.14442531,30.4669373,31.30248691,5.37455324,0.94736111,0.72229776,153.72894483,0.03464928,2.42410522,1.41296196,3.9708449,29.81835691,30.45513774,0.03366918,2.43428056,0.97290256,0.74229919,177.49046096,1.48835085,1.0,1.25402447,1.67978824,2.0338615,2.3689704,2.7133649,3.10544577,3.61338251,4.28328727,0.45960793,0.25721757,0.21452048,0.00431171,0.15501479,0.0,0.05827548,0.75908278,0.54122234,0.05689367,-0.75269986,0.73939919
3808,egs39434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3809,egs39440,0.00047654,0.00225235,32.51633652,29.51884395,33.89093172,30.22529142,13.76109697,2.75959622,1.6747451,173.06560049,0.01670837,6.47141864,0.50000037,27.97603592,33.344891,29.1875934,0.01503968,4.44988263,0.16820031,0.74000433,10.36580802,2.81813121,3.32957418,4.5926856,5.53554682,6.29143356,7.10024779,8.10982663,8.98407168,10.17835895,11.43727447,0.34561105,0.20704904,0.21023502,0.00079754,0.37304232,0.0505272,0.28874684,0.4667212,0.43652611,0.42934326,-0.91104534,0.88523425
3810,egs39441,0.00046063,0.00365632,34.01421148,33.5421536,34.56338744,34.29373256,14.2263789,1.56926023,0.97213839,76.55222772,0.01587547,5.89998132,1.0672795,4.49865666,33.5961931,33.42201452,0.01613488,6.6435094,1.20578746,0.45910899,74.41134147,3.77916004,1.90921647,2.71511912,3.562891,4.47529174,5.31922934,6.40255386,7.7656461,9.2238052,11.36336861,0.53112123,0.32965838,0.21099892,0.00096403,0.32106622,0.04310435,0.1013632,0.67996844,0.53965097,0.19686896,-1.46973277,0.83325739
3811,egs39447,-0.00082606,0.00561243,30.56425765,30.52647779,31.27293754,30.8412165,8.33150789,1.52276633,1.19104914,52.89898166,0.01609062,3.49546909,2.50512366,9.44652243,30.15486398,29.71939978,0.00399573,7.7243619,6.46822005,0.57260587,45.70873599,1.96832662,1.0,1.39797683,1.91420029,2.41035377,2.92196847,3.49862803,4.30581124,5.52727483,6.79676999,0.59701109,0.36662705,0.27274914,0.00282468,0.15832348,0.0,0.09453973,0.58659228,0.58128568,0.12064126,-1.28610041,0.74899551
3812,egs39451,0.00266308,0.00348068,32.56753074,32.51361929,33.38515942,32.49750438,6.55838322,1.72976419,1.49682408,131.39475552,0.04832491,2.92927298,0.74811396,4.6802088,32.47485601,31.50231871,0.050532,2.92024373,1.15344886,0.72110596,135.12207985,3.32378152,1.0,1.35169753,1.80714966,2.19911833,2.58275843,3.0005954,3.52319548,4.17951811,4.94603982,0.49024669,0.28217382,0.07155458,0.00103773,0.11955133,0.0,0.03357936,0.39507235,0.50334538,0.08901622,-1.09398013,0.77399511
3813,egs39462,0.00035604,0.00273058,34.53365129,34.51616199,34.90265582,35.54909732,15.70076507,4.42455004,2.05842243,90.59935227,0.02119014,7.72764081,0.56073049,2.62959647,33.99954134,34.76178219,0.02285038,8.1271082,0.59707403,0.38196343,91.30864129,5.05978693,2.70280715,4.25120951,5.10006712,6.17957959,7.12285914,8.18391411,9.3589282,10.81763116,12.69459695,0.40561966,0.25096456,0.09982863,0.00053836,0.16358344,0.01096584,0.08791855,0.31368586,0.40542807,0.39705536,-1.23149777,0.8975438
3814,egs39467,-0.00023058,0.00277408,32.51144033,27.534844,32.30296913,28.28320557,22.93875128,3.30589843,1.78109919,129.45490924,0.01229301,7.66712113,0.87059662,29.35775874,31.64141702,26.67589713,0.0091419,11.51514243,1.27701478,0.32399753,124.38028066,4.63165069,2.9846773,4.22482857,5.35702671,6.73864677,8.01551617,10.02191473,12.81437786,16.33510654,19.24383989,0.58731288,0.38036024,0.20553674,0.00059774,0.46505721,0.11336195,0.61483605,0.36988066,0.54746576,0.59042701,-1.45293325,0.87363035
3815,egs39468,-0.00100682,0.00770309,30.50906636,30.56629203,30.79013431,31.44198921,6.9947293,2.45850686,1.6412264,32.31954541,0.0950363,3.24283343,0.50000655,24.31656698,29.84163999,30.58415466,0.0860323,3.54844897,0.23193619,0.49818763,33.13783643,4.18965023,1.04518925,1.80217859,2.44458876,2.97574527,3.42864833,3.85305603,4.28419098,4.74761058,5.2791903,0.42067726,0.18744437,0.10555314,0.00182204,0.3335664,0.02434866,0.13078061,0.91290148,0.40816819,0.08993933,-1.22127585,0.7467734
3816,egs39471,-5.314e-05,0.00237136,26.55106049,31.54385124,27.28357761,32.06393831,9.19682146,3.0826031,2.48671874,161.5666304,0.02758093,4.10017679,0.87266072,1.54573025,26.31390259,31.13917828,0.03007564,4.03435628,1.02415563,0.68293236,153.07740904,3.58753685,1.57433337,2.19137085,2.73137588,3.27659179,3.86695261,4.52496928,5.33641413,6.27976282,7.29530411,0.45722736,0.27567455,0.08006183,0.00065799,0.11741274,0.00131271,0.03965016,0.4297617,0.45594776,0.33845876,-1.31800928,0.85049472
3817,egs39475,0.00145673,0.01012639,30.54557678,29.63650817,30.43693092,29.70244987,11.26614534,0.96902321,0.83405377,175.81552888,0.01117603,6.26203152,1.28736537,6.67929833,29.36072354,28.80825604,0.01273735,6.00095775,1.19707508,0.78301802,174.2734098,3.76902232,1.50452387,2.45147489,3.2438104,4.00586713,4.74881522,5.5676584,6.54463779,7.7617392,9.25812768,0.5005316,0.28993789,0.49183453,0.00267669,0.23980726,0.0,0.29422684,0.90069334,0.51463041,0.33991398,-1.0019631,0.84917503
3818,egs39476,-0.00057154,0.00314052,30.55096286,28.50826445,31.64748292,29.10200372,13.45122181,4.57489729,3.16463977,78.71465888,0.06276013,6.05784292,0.73761644,4.12594572,30.36416303,27.93418087,0.07074003,6.37180828,0.83006601,0.52621038,79.04377991,15.34892376,2.23537763,3.1845013,4.06416204,4.86762888,5.69984071,6.62054263,7.78314113,9.17054184,10.77303667,0.45935357,0.27647542,0.04278163,0.00020408,0.10439383,0.0279605,0.01784086,0.07766545,0.4395601,0.13826772,-1.46988354,0.85700455
3819,egs39481,0.00042405,0.00257915,35.54297468,26.54432087,35.80037714,27.65593475,16.29119074,3.41619807,2.76482961,142.21541443,0.01572733,6.80017187,1.12037102,4.30415463,35.32966152,26.25740317,0.01296236,7.29622451,1.47036938,0.81101292,138.01722413,6.5429452,2.13372098,3.27359581,4.08282313,5.06729154,6.11777951,7.32542101,8.78269086,10.34972167,12.803168,0.49990361,0.32072362,0.16516572,0.00039344,0.30354639,0.09701646,0.13636098,0.55163615,0.56683151,0.83178861,-1.80720333,0.78833038
3820,egs39482,-1.175e-05,0.00456092,31.67305376,28.11322815,31.75899785,28.19453262,10.94191007,0.98947966,0.63814231,15.5592725,0.00192731,8.9999975,2.40123012,24.9061254,29.46470694,27.2942192,0.00683427,7.5596435,0.52035171,0.41697048,173.85583775,1.15417783,1.73174729,2.88663359,3.62393947,4.43366856,5.45097163,6.39893351,7.14123266,7.71361415,8.4556166,0.42686625,0.19067136,0.45756397,0.00393194,0.15724057,0.0,0.34882859,1.12515314,0.38528911,0.36585452,-0.64170077,0.8498543
3821,egs39483,0.00040415,0.00262276,32.49649569,32.52680536,32.27839537,32.55745597,13.83939243,3.85516968,2.1491247,39.88048093,0.02325096,6.61583813,0.79242301,2.91407708,31.53392841,31.92406529,0.0209267,7.88851503,1.35716187,0.38724013,37.14601677,5.35165,2.33948387,3.27462391,4.11694405,4.95127664,5.80190588,6.97432779,7.98668118,9.19812388,10.83878894,0.44853783,0.27141008,0.07947662,0.0004886,0.1614977,0.03577601,0.10857596,0.32720642,0.4096304,0.23033285,-1.55362787,0.86464297
3822,egs39489,6.11e-06,0.00784731,34.5037577,31.5010567,34.50740555,31.62419356,10.27238111,2.09144283,1.15876828,26.03109079,0.02913185,5.08080344,0.69246344,1.80696755,33.34976562,30.6193214,0.02868031,5.55423731,0.68959738,0.46591683,24.01439529,3.75877409,1.9488737,2.67451319,3.25451904,3.86494139,4.89643311,5.55497729,6.24528055,7.52823476,8.55890257,0.44944841,0.24253826,0.24241125,0.0020768,0.18370156,0.0,0.10744776,0.62054661,0.44524095,0.45679183,-1.096633,0.84127271
3823,egs39490,-0.00055364,0.00261593,31.52656329,30.53106066,32.04311806,30.9828459,9.85055058,2.79350386,2.23094064,146.06279442,0.03376447,4.22360946,0.50002906,22.33862054,30.98240933,30.00221454,0.02343554,4.81646734,0.6584216,0.70300917,149.58582365,3.41413918,1.79847004,2.46592699,3.07282989,3.69200983,4.35848844,5.04507995,5.71756793,6.60538657,7.69858983,0.42791803,0.24707528,0.10720555,0.00076334,0.06023496,0.0,0.01638412,0.4068403,0.43949316,0.10204338,-1.45293766,0.85094278
3824,egs39491,0.0001645,0.00804416,34.13489195,34.13008192,34.33811326,34.12630037,7.90042492,0.91310944,0.70689245,158.57953952,0.03728258,3.76870229,0.77143676,3.27251363,33.5165664,33.1732852,0.02908743,3.75363296,1.49964349,0.89218225,51.08683943,3.74336314,1.27379397,1.81785031,2.29448292,2.75280507,3.22434803,3.73991863,4.34725425,5.10620561,6.02532326,0.44854018,0.27153844,0.23243803,0.00213409,0.11194502,0.0,0.08878186,0.88548018,0.51753059,0.06055712,-1.34659385,0.81636323
3825,egs39496,-0.00068448,0.00282937,32.51846169,30.57349544,32.69709847,31.50396494,5.67479563,1.86809076,1.4992003,51.08872907,0.0233202,2.62032616,0.50005818,24.1712971,31.67757122,30.48694867,0.04134047,2.30103684,0.61283765,0.69864249,49.05316692,1.35872934,1.0,1.21422446,1.54458868,1.93005521,2.36547952,2.81752323,3.24236573,3.65451417,4.11240058,0.47853067,0.24017622,0.09844203,0.00205803,0.09200188,0.0,0.0368834,0.83337075,0.45350675,0.05775708,-1.01666293,0.73264186
3826,egs39500,0.00068631,0.00284159,29.52563801,31.51652507,29.95699581,32.03225719,20.83126673,4.01046579,2.91374111,112.68853817,0.0173732,10.50086824,1.19137841,1.55123155,29.02836547,30.95801499,0.01808157,10.33569391,1.1926,0.70481831,110.59293227,14.37305958,2.85995606,4.38824001,5.74214588,7.04502829,8.64624814,10.21023361,11.96191477,13.99777787,16.46456241,0.50376872,0.2797225,0.11241464,0.00019748,0.12169179,0.00159739,0.08482296,0.27828047,0.51342409,0.24086832,-1.76264547,0.82501449
3827,egs39516,1.251e-05,0.00594427,32.99730782,31.01384125,33.01624202,31.23708916,5.06485899,0.99851342,0.74195588,112.95577969,0.02605663,2.28849964,0.72520925,3.23539034,32.10934221,30.01257959,0.03509787,2.11830867,0.43466629,0.67665262,130.2855252,0.93473844,1.0,1.3552066,1.66049071,1.93225467,2.1939173,2.46104358,2.75315051,3.11860059,3.74599008,0.36195425,0.23234637,0.28796837,0.00624698,0.1435305,0.0,0.09152191,1.08860314,0.55784184,0.15751658,-0.61053455,0.73094991
3828,egs39519,-0.00120536,0.00881021,32.0120139,30.82495272,32.5055604,31.50546484,8.48498068,1.41600099,0.89232626,69.00695759,0.02992435,4.17715093,0.69969036,3.15010992,31.64060782,30.46379116,0.03068954,4.66141769,0.66305049,0.48412545,67.3190042,2.85769765,1.81712443,2.29289365,2.69879712,3.12435479,3.65520826,4.48126474,5.34855743,6.00046895,6.72789338,0.41780128,0.26496697,0.251853,0.00306181,0.06243462,0.0,0.02743068,0.90653166,0.44332748,0.21036457,-1.1312062,0.81135139
3829,egs39521,0.00060027,0.00716507,30.80257874,30.99459696,30.83198914,31.03909069,6.90057249,0.93633894,0.75996039,173.94610096,0.01836483,4.01754294,1.27994156,3.70335813,30.13554657,30.0355427,0.02352033,4.72766131,0.94360938,0.46145811,174.04235801,2.10424066,1.14274608,1.59276805,2.04108251,2.49808208,2.97639444,3.49147554,4.04836375,4.6474514,5.29488683,0.46506232,0.2501662,0.18324221,0.00337578,0.06198814,0.0,0.06075996,0.67541044,0.36245824,0.08517916,-1.02668527,0.72659192
3830,egs39523,-0.00023649,0.003674,32.56348873,30.54154729,33.31023552,31.04867939,4.31446168,1.57496591,1.5013938,178.32842409,0.0321325,2.14883303,0.54131337,0.0,32.50855277,30.07374211,0.02231439,2.45231944,1.81070132,0.90161058,12.28816334,1.23328889,1.0,1.21910306,1.48559629,1.75577485,2.03365444,2.32448041,2.63610229,2.98234885,3.39441549,0.38851802,0.22248784,0.11588073,0.00293319,0.0379368,0.0,0.00853752,0.45516043,0.4528899,0.20081464,-0.76966386,0.69857002
3831,egs39525,-0.00056667,0.00384026,33.53505983,31.56487971,34.77390765,32.41852357,14.31832846,3.01005284,1.94606898,4.547855,0.01861721,5.45635329,1.21411329,8.26562862,32.72714397,31.36034213,0.0035997,14.56582939,4.67659394,0.43376291,9.97479214,4.24752836,1.81403813,2.47849558,3.15478099,4.18009668,5.18436779,6.20390535,7.70416061,8.99344816,10.95105411,0.55973809,0.32476012,0.19955736,0.00090044,0.26980365,0.05996701,0.09844954,0.29780522,0.55127767,0.19875317,-1.79245355,0.77824518
3832,egs39527,0.0011313,0.00508581,31.60306028,31.60112537,31.7319898,31.5208306,7.94054058,1.28035254,0.99144514,134.20332041,0.01668225,4.34732617,0.78152407,2.0865974,30.59250505,30.41458614,0.0196002,4.78922836,0.77646018,0.52325946,129.91661512,2.03026124,1.20503136,1.84840524,2.44707861,3.00326556,3.53418241,4.11922393,4.82148213,5.44996253,6.05571084,0.46959633,0.23387617,0.20623579,0.00248811,0.15880702,0.0,0.05929579,0.88103751,0.4229478,0.13090726,-0.8416743,0.7978744
3833,egs39530,-0.00016846,0.00255399,30.49547163,30.51345008,30.53122722,30.78890678,9.9471656,3.060838,2.12439735,50.47522987,0.02479974,4.70506483,0.7041064,0.80834406,29.48400024,29.69029458,0.02854762,4.7679293,0.77023984,0.56338843,47.56614333,3.42956052,1.49672399,2.35793224,3.05913187,3.67971936,4.24931425,4.82044912,5.51044396,6.38354343,7.46133519,0.4325305,0.2444977,0.08287518,0.00074129,0.07528732,0.0,0.0303654,0.42691491,0.4403125,0.09266244,-1.48755345,0.83462059
